Month_from_now,RMS_NormalWear,RMS_Misalignment,RMS_BearingDamage
-6,2.0989999999999998,1.1989999999999998,1.5235151372151445
-5,2.199,1.4489999999999998,1.675866650936659
-4,2.299,1.6989999999999998,1.8434533160303253
-3,2.399,1.9489999999999998,2.027798647633358
-2,2.4989999999999997,2.199,2.230578512396694
-1,2.5989999999999998,2.449,2.453636363636363
0,2.699,2.699,2.699
1,2.799,2.949,2.9689
2,2.899,3.199,3.2657900000000004
3,2.9989999999999997,3.449,3.592369000000001
4,3.0989999999999998,3.699,3.951605900000001
5,3.199,3.949,4.346766490000001
6,3.299,4.199,4.781443139000002
7,3.399,4.449,5.259587452900003
8,3.4989999999999997,4.699,5.785546198190004
9,3.5989999999999998,4.949,6.364100818009005
10,3.699,5.199,7.000510899809906
11,3.799,5.449,7.700561989790896
12,3.899,5.699,8.470618188769986
